City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Humberto De Campos,BR,2021-05-28 01:21:48,scattered clouds,-2.5983,-43.4611,76.82,86,42,3.94
103,Conde,BR,2021-05-28 01:21:48,broken clouds,-7.2597,-34.9075,74.66,94,75,6.89
104,Toora-Khem,RU,2021-05-28 01:21:49,overcast clouds,52.4675,96.11,56.35,88,97,4.9
105,Kimbe,PG,2021-05-28 01:21:49,overcast clouds,-5.5502,150.1429,86.22,63,100,9.19
106,Sitka,US,2021-05-28 01:21:49,overcast clouds,57.0531,-135.33,48.09,76,90,8.05
107,Saskylakh,RU,2021-05-28 01:21:49,overcast clouds,71.9167,114.0833,33.73,70,100,5.23
108,Mahebourg,MU,2021-05-28 01:21:50,broken clouds,-20.4081,57.7,74.25,88,75,1.14
109,La Ricamarie,FR,2021-05-28 01:21:50,clear sky,45.4168,4.312,51.06,93,0,2.06
110,Rocafuerte,EC,2021-05-28 01:21:50,overcast clouds,-0.9167,-80.4333,73.27,86,85,6.71
111,Nome,US,2021-05-28 01:20:40,clear sky,64.5011,-165.4064,61.11,33,1,12.66
112,Emerald,AU,2021-05-28 01:21:51,clear sky,-23.5333,148.1667,67.33,32,9,16.11
113,Huarmey,PE,2021-05-28 01:21:51,scattered clouds,-10.0681,-78.1522,66.88,92,43,6.53
114,Arraial Do Cabo,BR,2021-05-28 01:21:03,clear sky,-22.9661,-42.0278,72.27,87,1,7.81
115,Saint George,US,2021-05-28 01:21:51,clear sky,37.1041,-113.5841,93.67,9,1,3.0
116,Ponta Delgada,PT,2021-05-28 01:21:52,few clouds,37.7333,-25.6667,57.92,77,20,9.22
117,Dali,CN,2021-05-28 01:21:52,broken clouds,25.7,100.1833,67.66,81,80,4.61
118,Vanimo,PG,2021-05-28 01:21:52,broken clouds,-2.6741,141.3028,85.84,70,58,2.28
119,Dong Hoi,VN,2021-05-28 01:21:53,overcast clouds,17.4833,106.6,84.69,72,99,1.39
120,Wynyard,AU,2021-05-28 01:21:53,broken clouds,-41.0,145.7167,55.96,53,81,8.41
121,Bela,IN,2021-05-28 01:21:53,overcast clouds,25.9333,81.9833,74.91,91,100,20.69
122,Touros,BR,2021-05-28 01:21:54,scattered clouds,-5.1989,-35.4608,76.1,85,26,12.3
123,Puerto Ayora,EC,2021-05-28 01:21:54,overcast clouds,-0.7393,-90.3518,75.54,93,98,7.0
